p452_time_percentage,polarization_label,bs_gain_case,earth_station_pattern_type,maximum_aggregate_interference_dbw_per_10mhz,minimum_aggregate_interference_dbw_per_10mhz,mean_aggregate_interference_dbw_per_10mhz,long_exceedance_fraction,short_exceedance_fraction,maximum_required_long_backoff_db,maximum_required_short_backoff_db,median_required_long_backoff_db,median_required_short_backoff_db
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-65.84549533076421,-81.06976231688017,-77.52808895416419,1.0,1.0,84.15450466923579,67.15450466923579,71.04630330091554,54.04630330091554
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-62.845495330764194,-78.06976231688017,-74.52808895416419,1.0,1.0,87.1545046692358,70.1545046692358,74.04630330091553,57.046303300915525
0.005,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-89.9278949838827,-105.15216196999867,-101.61048860728269,1.0,1.0,60.072105016117305,43.072105016117305,46.963903647797025,29.963903647797025
0.005,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-86.92789498388271,-102.15216196999867,-98.61048860728269,1.0,1.0,63.07210501611729,46.07210501611729,49.963903647797025,32.963903647797025
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-92.44185666133113,-107.64074834524632,-104.09099362297086,1.0,1.0,57.55814333866887,40.55814333866887,44.512743529859335,27.512743529859335
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-89.44185666133114,-104.64074834524632,-101.09099362297086,1.0,1.0,60.558143338668856,43.558143338668856,47.512743529859335,30.512743529859335
0.005,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-65.84549533076421,-81.06976231688017,-77.52808895416419,1.0,1.0,84.15450466923579,67.15450466923579,71.04630330091554,54.04630330091554
0.005,V,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-62.845495330764194,-78.06976231688017,-74.52808895416419,1.0,1.0,87.1545046692358,70.1545046692358,74.04630330091553,57.046303300915525
0.005,V,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-89.9278949838827,-105.15216196999867,-101.61048860728269,1.0,1.0,60.072105016117305,43.072105016117305,46.963903647797025,29.963903647797025
0.005,V,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-86.92789498388271,-102.15216196999867,-98.61048860728269,1.0,1.0,63.07210501611729,46.07210501611729,49.963903647797025,32.963903647797025
0.005,V,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-92.44185666133113,-107.64074834524632,-104.09099362297086,1.0,1.0,57.55814333866887,40.55814333866887,44.512743529859335,27.512743529859335
0.005,V,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-89.44185666133114,-104.64074834524632,-101.09099362297086,1.0,1.0,60.558143338668856,43.558143338668856,47.512743529859335,30.512743529859335
0.01,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-66.0424340002626,-81.2615271422801,-77.7213957345529,1.0,1.0,83.9575659997374,66.9575659997374,70.84913070648336,53.849130706483365
0.01,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-63.0424340002626,-78.2615271422801,-74.7213957345529,1.0,1.0,86.9575659997374,69.9575659997374,73.84913070648336,56.849130706483365
0.01,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-90.12483365338112,-105.3439267953986,-101.8037953876714,1.0,1.0,59.87516634661888,42.87516634661888,46.76673105336485,29.76673105336485
0.01,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-87.1248336533811,-102.3439267953986,-98.80379538767141,1.0,1.0,62.8751663466189,45.8751663466189,49.766731053364865,32.766731053364865
0.01,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-92.63890249749927,-107.83278953090561,-104.2846003772394,1.0,1.0,57.361097502500726,40.361097502500726,44.31540816774712,27.315408167747123
0.01,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-89.63890249749929,-104.83278953090561,-101.28460037723941,1.0,1.0,60.36109750250071,43.36109750250071,47.31540816774711,30.31540816774711
0.01,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-66.0424340002626,-81.2615271422801,-77.7213957345529,1.0,1.0,83.9575659997374,66.9575659997374,70.84913070648336,53.849130706483365
0.01,V,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-63.0424340002626,-78.2615271422801,-74.7213957345529,1.0,1.0,86.9575659997374,69.9575659997374,73.84913070648336,56.849130706483365
0.01,V,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-90.12483365338112,-105.3439267953986,-101.8037953876714,1.0,1.0,59.87516634661888,42.87516634661888,46.76673105336485,29.76673105336485
0.01,V,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-87.1248336533811,-102.3439267953986,-98.80379538767141,1.0,1.0,62.8751663466189,45.8751663466189,49.766731053364865,32.766731053364865
0.01,V,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-92.63890249749927,-107.83278953090561,-104.2846003772394,1.0,1.0,57.361097502500726,40.361097502500726,44.31540816774712,27.315408167747123
0.01,V,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-89.63890249749929,-104.83278953090561,-101.28460037723941,1.0,1.0,60.36109750250071,43.36109750250071,47.31540816774711,30.31540816774711
0.1,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-66.69453457237037,-81.89680967974166,-78.36174088011285,1.0,1.0,83.30546542762963,66.30546542762963,70.19599849840925,53.19599849840925
0.1,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-63.69453457237037,-78.89680967974165,-75.36174088011285,1.0,1.0,86.30546542762963,69.30546542762963,73.19599849840925,56.19599849840925
0.1,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-90.77693422548887,-105.97920933286014,-102.44414053323133,1.0,1.0,59.22306577451113,42.22306577451113,46.11359884529077,29.113598845290767
0.1,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-87.77693422548887,-102.97920933286015,-99.44414053323133,1.0,1.0,62.22306577451113,45.22306577451113,49.11359884529077,32.11359884529077
0.1,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-93.29138194099247,-108.46902257774879,-104.9259740681357,1.0,1.0,56.708618059007534,39.708618059007534,43.661699453519105,26.661699453519105
0.1,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-90.29138194099247,-105.4690225777488,-101.92597406813569,1.0,1.0,59.708618059007534,42.708618059007534,46.661699453519105,29.661699453519105
0.1,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-66.69453457237037,-81.89680967974166,-78.36174088011285,1.0,1.0,83.30546542762963,66.30546542762963,70.19599849840925,53.19599849840925
0.1,V,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-63.69453457237037,-78.89680967974165,-75.36174088011285,1.0,1.0,86.30546542762963,69.30546542762963,73.19599849840925,56.19599849840925
0.1,V,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-90.77693422548887,-105.97920933286014,-102.44414053323133,1.0,1.0,59.22306577451113,42.22306577451113,46.11359884529077,29.113598845290767
0.1,V,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-87.77693422548887,-102.97920933286015,-99.44414053323133,1.0,1.0,62.22306577451113,45.22306577451113,49.11359884529077,32.11359884529077
0.1,V,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-93.29138194099247,-108.46902257774879,-104.9259740681357,1.0,1.0,56.708618059007534,39.708618059007534,43.661699453519105,26.661699453519105
0.1,V,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-90.29138194099247,-105.4690225777488,-101.92597406813569,1.0,1.0,59.708618059007534,42.708618059007534,46.661699453519105,29.661699453519105
1.0,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-67.34341481114879,-82.5294262766078,-78.99932918445072,1.0,1.0,82.65658518885121,65.65658518885121,69.54570219317566,52.54570219317566
1.0,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-64.34341481114879,-79.52942627660781,-75.99932918445072,1.0,1.0,85.65658518885121,68.65658518885121,72.54570219317566,55.54570219317566
1.0,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-91.42581446426729,-106.6118259297263,-103.0817288375692,1.0,1.0,58.57418553573271,41.57418553573271,45.46330254005717,28.46330254005717
1.0,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-88.42581446426728,-103.61182592972631,-100.0817288375692,1.0,1.0,61.574185535732724,44.574185535732724,48.46330254005716,31.463302540057157
1.0,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-93.94067601582648,-109.10263916188919,-105.56463957544577,1.0,1.0,56.05932398417352,39.05932398417352,43.0107721922826,26.0107721922826
1.0,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-90.9406760158265,-106.1026391618892,-102.56463957544577,1.0,1.0,59.0593239841735,42.0593239841735,46.0107721922826,29.0107721922826
1.0,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-67.34341481114879,-82.5294262766078,-78.99932918445072,1.0,1.0,82.65658518885121,65.65658518885121,69.54570219317566,52.54570219317566
1.0,V,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-64.34341481114879,-79.52942627660781,-75.99932918445072,1.0,1.0,85.65658518885121,68.65658518885121,72.54570219317566,55.54570219317566
1.0,V,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-91.42581446426729,-106.6118259297263,-103.0817288375692,1.0,1.0,58.57418553573271,41.57418553573271,45.46330254005717,28.46330254005717
1.0,V,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-88.42581446426728,-103.61182592972631,-100.0817288375692,1.0,1.0,61.574185535732724,44.574185535732724,48.46330254005716,31.463302540057157
1.0,V,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-93.94067601582648,-109.10263916188919,-105.56463957544577,1.0,1.0,56.05932398417352,39.05932398417352,43.0107721922826,26.0107721922826
1.0,V,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-90.9406760158265,-106.1026391618892,-102.56463957544577,1.0,1.0,59.0593239841735,42.0593239841735,46.0107721922826,29.0107721922826
10.0,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-67.98084906882927,-83.15153308666379,-79.62620097285064,1.0,1.0,82.01915093117073,65.01915093117073,68.90648779419693,51.906487794196934
10.0,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-64.98084906882927,-80.15153308666378,-76.62620097285064,1.0,1.0,85.01915093117073,68.01915093117073,71.90648779419695,54.90648779419695
10.0,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-92.06324872194777,-107.23393273978229,-103.70860062596914,1.0,1.0,57.93675127805223,40.93675127805223,44.824088141078434,27.824088141078434
10.0,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-89.06324872194776,-104.23393273978228,-100.70860062596914,1.0,1.0,60.93675127805224,43.93675127805224,47.82408814107845,30.824088141078448
10.0,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-94.578550978747,-109.72577508882993,-106.1926147240327,1.0,1.0,55.421449021253,38.421449021253,42.370884795199004,25.370884795199004
10.0,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-91.578550978747,-106.72577508882993,-103.1926147240327,1.0,1.0,58.421449021253,41.421449021253,45.37088479519902,28.370884795199018
10.0,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-67.98084906882927,-83.15153308666379,-79.62620097285064,1.0,1.0,82.01915093117073,65.01915093117073,68.90648779419693,51.906487794196934
10.0,V,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-64.98084906882927,-80.15153308666378,-76.62620097285064,1.0,1.0,85.01915093117073,68.01915093117073,71.90648779419695,54.90648779419695
10.0,V,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-92.06324872194777,-107.23393273978229,-103.70860062596914,1.0,1.0,57.93675127805223,40.93675127805223,44.824088141078434,27.824088141078434
10.0,V,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-89.06324872194776,-104.23393273978228,-100.70860062596914,1.0,1.0,60.93675127805224,43.93675127805224,47.82408814107845,30.824088141078448
10.0,V,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-94.578550978747,-109.72577508882993,-106.1926147240327,1.0,1.0,55.421449021253,38.421449021253,42.370884795199004,25.370884795199004
10.0,V,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-91.578550978747,-106.72577508882993,-103.1926147240327,1.0,1.0,58.421449021253,41.421449021253,45.37088479519902,28.370884795199018
20.0,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-68.13823301294862,-83.3050959274303,-79.78096031883246,1.0,1.0,81.86176698705138,64.86176698705138,68.74861177192119,51.74861177192119
20.0,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-65.13823301294862,-80.3050959274303,-76.78096031883246,1.0,1.0,84.86176698705138,67.86176698705138,71.74861177192119,54.74861177192119
20.0,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-92.22063266606712,-107.3874955805488,-103.86335997195096,1.0,1.0,57.77936733393288,40.77936733393288,44.66621211880269,27.66621211880269
20.0,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-89.22063266606712,-104.3874955805488,-100.86335997195096,1.0,1.0,60.77936733393288,43.77936733393288,47.666212118802704,30.666212118802704
20.0,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-94.73605027990456,-109.87960363033048,-106.347658570642,1.0,1.0,55.26394972009544,38.26394972009544,42.212832393254644,25.212832393254644
20.0,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-91.73605027990455,-106.87960363033048,-103.347658570642,1.0,1.0,58.263949720095454,41.263949720095454,45.21283239325463,28.21283239325463
20.0,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-68.13823301294862,-83.3050959274303,-79.78096031883246,1.0,1.0,81.86176698705138,64.86176698705138,68.74861177192119,51.74861177192119
20.0,V,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-65.13823301294862,-80.3050959274303,-76.78096031883246,1.0,1.0,84.86176698705138,67.86176698705138,71.74861177192119,54.74861177192119
20.0,V,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-92.22063266606712,-107.3874955805488,-103.86335997195096,1.0,1.0,57.77936733393288,40.77936733393288,44.66621211880269,27.66621211880269
20.0,V,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-89.22063266606712,-104.3874955805488,-100.86335997195096,1.0,1.0,60.77936733393288,43.77936733393288,47.666212118802704,30.666212118802704
20.0,V,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-94.73605027990456,-109.87960363033048,-106.347658570642,1.0,1.0,55.26394972009544,38.26394972009544,42.212832393254644,25.212832393254644
