site_id,distance_km,profile_sample_count,loss_p50_db,loss_p20_db,loss_p0p005_db,free_space_reference_db,p50_minus_free_space_db,maximum_terrain_above_effective_los_m,minimum_60pct_fresnel_clearance_m,propagation_class
E3_SITE_01,2.9999999999992144,101,120.20947068326,119.894554790291,117.513977449339,120.21557726919052,-0.0061065859305244,-4.347782332384895,2.73960506378344,NEAR_FREE_SPACE_REFERENCE
E3_SITE_02,3.4999999999997597,118,121.54866990931,121.189096827102,118.477423751476,121.55451306180446,-0.0058431524944637,-20.0,19.264923426532032,NEAR_FREE_SPACE_REFERENCE
E3_SITE_03,3.2787192621517285,111,120.979700399108,120.639642757687,118.072432894623,120.98723681731772,-0.0075364182097104,-3.2047022061309747,1.8321720977576172,NEAR_FREE_SPACE_REFERENCE
E3_SITE_04,3.2787192621517285,111,120.986760183645,120.646702542222,118.079492671266,120.98723681731772,-0.0004766336727044,-8.597032221331688,5.368980129662377,NEAR_FREE_SPACE_REFERENCE
E3_SITE_05,2.783882181415529,94,119.553041472872,119.25805963397,117.025868505497,119.56616919986426,-0.0131277269922662,-19.91943177233628,19.038664905913215,NEAR_FREE_SPACE_REFERENCE
E3_SITE_06,2.783882181415174,94,148.129891813519,147.83223734013,145.014125957979,119.56616919986315,28.56372261365585,6.411732443793767,-9.167731880054344,DIFFRACTION_DOMINATED_REFERENCE
E3_SITE_07,2.499999999999975,85,118.624160440472,118.355962032326,116.323685306522,118.6319523482402,-0.0077919077682082,-18.056147874804026,16.988380486436274,NEAR_FREE_SPACE_REFERENCE
E3_SITE_08,3.999999999998896,135,161.205387749133,160.845147990486,157.742623029016,122.7143520013564,38.49103574777661,17.31454513589287,-19.73683095312299,DIFFRACTION_DOMINATED_REFERENCE
E3_SITE_09,3.774917217635162,127,162.104202803347,161.76279988319,158.806466679556,122.21130081824434,39.892901985102654,21.213672543624625,-23.743754898235885,DIFFRACTION_DOMINATED_REFERENCE
E3_SITE_10,3.60555127546406,122,121.809563228571,121.44081599331,118.66136801163,121.81258569786807,-0.003022469297079,-19.808013575579253,18.927022023845595,NEAR_FREE_SPACE_REFERENCE
E3_SITE_11,3.774917217634808,127,122.211439251188,121.828154452726,118.941457477684,122.21130081824352,0.0001384329444675,-19.535278577876852,18.457376891134505,NEAR_FREE_SPACE_REFERENCE
E3_SITE_12,3.122498999199693,106,120.555248982578,120.229204298942,117.765952113815,120.56319833178628,-0.0079493492082889,-19.684022439653404,18.805043918912023,NEAR_FREE_SPACE_REFERENCE
E3_SITE_13,3.60555127546406,122,121.813932112805,121.445184877542,118.665736891189,121.81258569786807,0.0013464149369326,-3.6871543415100803,0.3193406819221365,NEAR_FREE_SPACE_REFERENCE
E3_SITE_14,2.6457513110642323,90,119.112915913129,118.830879479244,116.695245418589,119.12413257494092,-0.0112166618119289,-6.839722363535515,4.248508929340103,NEAR_FREE_SPACE_REFERENCE
E3_SITE_15,3.1224989992000487,106,120.562134710459,120.236090026821,117.772837833258,120.56319833178728,-0.0010636213282708,-4.358435904801468,1.4252380472091857,NEAR_FREE_SPACE_REFERENCE
E3_SITE_16,2.291287847476537,78,117.856284606679,117.608220398658,115.726632659068,117.87474520885388,-0.0184606021748692,-19.854258452210843,18.978110343754622,NEAR_FREE_SPACE_REFERENCE
E3_SITE_17,2.6457513110642323,90,162.183591456292,161.940123993172,159.801301127382,119.12413257494092,43.05945888135106,28.00238025623682,-30.427834696883913,DIFFRACTION_DOMINATED_REFERENCE
E3_SITE_18,2.291287847477598,78,117.863252559341,117.615188351318,115.73360060041,117.87474520885787,-0.0114926495168816,-3.904452391680337,1.976926553076204,NEAR_FREE_SPACE_REFERENCE
E3_SITE_19,1.9999999999987497,68,116.68059257543,116.461273131842,114.795388439828,116.69375208807374,-0.0131595126437389,-17.962901311837072,16.898577920675837,NEAR_FREE_SPACE_REFERENCE
