rank,time_s,sector_id,received_interference_w,share,cumulative_share
1,114.0,E3_SITE_18_SEC_1,7.171681931290847e-10,0.3291087154312197,0.3291087154312197
2,114.0,E3_SITE_04_SEC_1,3.244637165451707e-10,0.14889650430579018,0.4780052197370099
3,114.0,E3_SITE_13_SEC_1,2.1919156352043498e-10,0.10058707928585826,0.5785922990228681
4,114.0,E3_SITE_16_SEC_1,2.0966284669729866e-10,0.0962143480584908,0.674806647081359
5,114.0,E3_SITE_19_SEC_1,1.526479498104306e-10,0.07005019346455833,0.7448568405459172
6,114.0,E3_SITE_11_SEC_1,1.4859321254430472e-10,0.06818947322368507,0.8130463137696023
7,114.0,E3_SITE_15_SEC_1,8.811049218736712e-11,0.04043393331942917,0.8534802470890316
8,114.0,E3_SITE_07_SEC_1,6.393443094122673e-11,0.029339531006091168,0.8828197780951227
9,114.0,E3_SITE_10_SEC_1,6.227752702645828e-11,0.028579177264518783,0.9113989553596415
10,114.0,E3_SITE_02_SEC_1,5.4886514129057586e-11,0.025187439059027428,0.936586394418669
11,114.0,E3_SITE_01_SEC_1,5.4846664468024875e-11,0.025169152036710357,0.9617555464553793
12,114.0,E3_SITE_05_SEC_1,3.157464657104522e-11,0.014489615508256474,0.9762451619636358
13,114.0,E3_SITE_03_SEC_1,2.792455348991227e-11,0.012814586614553392,0.989059748578189
14,114.0,E3_SITE_12_SEC_1,1.5911289287689017e-11,0.007301695792556325,0.9963614443707454
15,114.0,E3_SITE_14_SEC_1,4.846085160935164e-12,0.0022238700453613117,0.9985853144161068
16,114.0,E3_SITE_18_SEC_3,8.407060584250349e-13,0.00038580028171119165,0.998971114697818
17,114.0,E3_SITE_06_SEC_1,6.710028634139733e-13,0.00030792343071619566,0.9992790381285341
18,114.0,E3_SITE_19_SEC_3,3.1309536357778397e-13,0.000143679563457729,0.999422717691992
19,114.0,E3_SITE_19_SEC_2,2.2424986795549002e-13,0.00010290833682464787,0.9995256260288166
20,114.0,E3_SITE_04_SEC_3,1.6043031450318765e-13,7.362152313532295e-05,0.9995992475519521
21,114.0,E3_SITE_18_SEC_2,1.0825842727349238e-13,4.967982723708202e-05,0.9996489273791892
22,114.0,E3_SITE_07_SEC_3,1.0100752357133887e-13,4.635238518653685e-05,0.9996952797643757
23,114.0,E3_SITE_15_SEC_3,7.598960247268004e-14,3.487165311500557e-05,0.9997301514174907
24,114.0,E3_SITE_15_SEC_2,7.285079183959052e-14,3.3431251901824594e-05,0.9997635826693926
25,114.0,E3_SITE_05_SEC_3,6.539447835916034e-14,3.0009547237692658e-05,0.9997935922166302
26,114.0,E3_SITE_01_SEC_3,6.219205804758945e-14,2.8539955522514288e-05,0.9998221321721527
27,114.0,E3_SITE_13_SEC_3,5.982757839460517e-14,2.745489504616819e-05,0.999849587067199
28,114.0,E3_SITE_07_SEC_2,4.585287479124984e-14,2.1041899049558946e-05,0.9998706289662483
29,114.0,E3_SITE_04_SEC_2,4.211493337389822e-14,1.932655652599513e-05,0.9998899555227744
30,114.0,E3_SITE_11_SEC_2,4.060807007169924e-14,1.863505646998541e-05,0.9999085905792444
31,114.0,E3_SITE_13_SEC_2,3.3151595115648655e-14,1.521327770463912e-05,0.9999238038569489
32,114.0,E3_SITE_01_SEC_2,2.1864213261254134e-14,1.0033494526479114e-05,0.9999338373514753
33,114.0,E3_SITE_16_SEC_3,2.1118615540257493e-14,9.691339491528362e-06,0.9999435286909668
34,114.0,E3_SITE_12_SEC_3,1.9552690938815346e-14,8.972736186222533e-06,0.9999525014271531
35,114.0,E3_SITE_16_SEC_2,1.8255090808602717e-14,8.377267067417377e-06,0.9999608786942206
36,114.0,E3_SITE_10_SEC_2,1.3463377727896131e-14,6.1783483872320295e-06,0.9999670570426078
37,114.0,E3_SITE_02_SEC_3,1.1414440129142201e-14,5.238090261474268e-06,0.9999722951328692
38,114.0,E3_SITE_14_SEC_2,1.0831076101001628e-14,4.970384320567364e-06,0.9999772655171898
39,114.0,E3_SITE_11_SEC_3,1.0186658494338051e-14,4.674660872759441e-06,0.9999819401780625
40,114.0,E3_SITE_02_SEC_2,9.391107453648591e-15,4.309582243269592e-06,0.9999862497603058
41,114.0,E3_SITE_03_SEC_3,4.801377208650574e-15,2.2033535516198033e-06,0.9999884531138573
