pass_slot,interval_index,interval_seconds,chosen_action_class,pre_repair_floor_violation_count,candidate_floor_violation_count,candidate_long_violation_seconds,candidate_short_violation_seconds,mutable_sector_count,mutable_sectors,critical_serving_sectors,external_backoff_sectors,eess_backoff_sectors,scalar_backoff_sectors,strict_local_scope_gate,changed_sector_count,changed_sectors,changed_sector_equivalent_scales,muted_sector_count,muted_sectors,changed_stream_count,changed_streams,maximum_critical_q0_nominal_power_envelope_ratio,maximum_critical_strict_post_mode_baseline_power_ratio,q0_power_headroom_used,candidate_stream_scale_sha256
0,0,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,0;5;10;26;51,5,10;26,0;51,0;10;26;51,PASS,1,5,5:0.70805002800126138,0,,3,5:0:0.017489454462321686;5:1:0.70823145409572219;5:2:0,0.6960064508502765,0.7080500280012614,False,db1a745ef2d37e9fe7c8afceee255a052cbc1b41ce9611ef40c9235dd1b1aca1
0,1,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,0;5;10;26;51,5,10;26,0;51,0;10;26;51,PASS,1,5,5:0.70802548492335737,0,,3,5:0:0.017519789284958249;5:1:0.7082068959410065;5:2:0,0.695982325237863,0.7080254849233574,False,bb8d875f5c0aada9cf4aaa7ebba5b4f88a45e590800a6b2278af2a1569536616
0,2,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,0;5;10;26;51,5,10;26,0;51,0;10;26;51,PASS,1,5,5:0.70809709419620193,0,,3,5:0:0.017553225566675493;5:1:0.70827851888560556;5:2:0,0.6960527174589483,0.7080970941962019,False,f683fc561b24a020ebe068397c52ddbd19df04541dccc7f2aa27741c32349622
0,3,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,0;5;10;26;51,5,10;26,0;51,0;10;26;51,PASS,1,5,5:0.70846829374464215,0,,3,5:0:0.01755141539612113;5:1:0.70864983284571204;5:2:0,0.6964176078638203,0.7084682937446422,False,3cfe1776743796f67eafcbd5ed626f32c3f06fa1de2d933a3179cd8d97a64919
0,4,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,0;5;10;26;51,5,10;26,0;51,0;10;26;51,PASS,1,5,5:0.7090194309830975,0,,3,5:0:0.017515647256834809;5:1:0.7092011481808782;5:2:0,0.6969593800720139,0.7090194309830975,False,3a4afe9f09fc725bfbed62ac1474b5204c2aab493b6a0fcc1269c8d749356542
0,5,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,0;5;10;26;33,5,10;26,0;33,0;10;26;33,PASS,1,5,5:0.70976762709386931,0,,3,5:0:0.017515494593860179;5:1:0.70994957403221615;5:2:0,0.6976948688004155,0.7097676270938693,False,b2dbc3a8a5dc049403bcbdef57168745e472035967255550882db8b3d4f56669
0,6,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,5;10;12;26;51,5,10;26,12;51,10;12;26;51,PASS,1,5,5:0.71079566263113814,0,,3,5:0:0.01755248702424525;5:1:0.71097791598766213;5:2:0,0.6987054560683866,0.7107956626311381,False,bbd872c2f0c92f14587eb8877d07a45900903c6532cbe1b47f24b5f91372ba4a
0,7,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,5;10;26;39;45,5,10;26,39;45,10;26;39;45,PASS,1,5,5:0.71224191459736308,0,,3,5:0:0.017596594391780504;5:1:0.71242460099809568;5:2:0,0.7001271842364167,0.7122419145973631,False,712666c98f12bc8974ffe8dc0ecc01adef0383c725aa278f1e10f56409103dca
0,8,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,5;10;26;27;51,5,10;26,27;51,10;26;27;51,PASS,1,5,5:0.71428066711375937,0,,3,5:0:0.017653862272868966;5:1:0.71446396518706268;5:2:0,0.7021314112461803,0.7142806671137594,False,adb9375c8c6e31f4f3fa24897493a92ead36211d24fa29a1d20f2f80dd4dd7e1
0,9,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,5;10;26;45;51,5,10;26,45;51,10;26;45;51,PASS,1,5,5:0.71726531453703801,0,,3,5:0:0.017652731937988241;5:1:0.71744952919460903;5:2:0,0.7050655975739267,0.717265314537038,False,1280760071d749d2e9da80bae6d25bbc3f55d4198ab3ad3a5823e282a4b3e622
