JobIDRaw|JobName|Account|State|ExitCode|Elapsed|MaxRSS|MaxVMSize|ReqMem|AllocTRES|NodeList
18145938|fr3-v43-r2-merge|def-rsadve_cpu|FAILED|42:0|00:00:16|||64G|billing=16000,cpu=16,mem=64G,node=1|rc32423
18145938.batch|batch|def-rsadve_cpu|FAILED|42:0|00:00:16|192752K|0||cpu=16,mem=64G,node=1|rc32423
18145938.extern|extern|def-rsadve_cpu|COMPLETED|0:0|00:00:16||||billing=16000,cpu=16,mem=64G,node=1|rc32423
18146059|fr3-v43-r2-p1|def-rsadve_gpu|COMPLETED|0:0|00:02:56|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146059.batch|batch|def-rsadve_gpu|COMPLETED|0:0|00:02:56|2372892K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146059.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:56||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146097|fr3-v43-r2-p1|def-rsadve_gpu|FAILED|42:0|00:02:52|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146097.batch|batch|def-rsadve_gpu|FAILED|42:0|00:02:52|1986956K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146097.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:52||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146145|fr3-v43-r2-p1|def-rsadve_gpu|COMPLETED|0:0|00:02:45|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146145.batch|batch|def-rsadve_gpu|COMPLETED|0:0|00:02:45|2033468K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146145.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:45||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146153|fr3-v43-r2-p1|def-rsadve_gpu|COMPLETED|0:0|00:02:52|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg21708
18146153.batch|batch|def-rsadve_gpu|COMPLETED|0:0|00:02:52|2277648K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg21708
18146153.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:52||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg21708
18146201|fr3-v43-r2-p1|def-rsadve_gpu|COMPLETED|0:0|00:02:48|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146201.batch|batch|def-rsadve_gpu|COMPLETED|0:0|00:02:48|1986036K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146201.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:48||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146211|fr3-v43-r2-p1|def-rsadve_gpu|COMPLETED|0:0|00:02:49|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg21708
18146211.batch|batch|def-rsadve_gpu|COMPLETED|0:0|00:02:49|1988904K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg21708
18146211.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:49||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg21708
18146331|fr3-v43-r2-p1|def-rsadve_gpu|COMPLETED|0:0|00:02:54|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31803
18146331.batch|batch|def-rsadve_gpu|COMPLETED|0:0|00:02:54|2264924K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31803
18146331.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:54||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31803
18146332|fr3-v43-r2-p1|def-rsadve_gpu|FAILED|42:0|00:02:54|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg21708
18146332.batch|batch|def-rsadve_gpu|FAILED|42:0|00:02:54|1985064K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg21708
18146332.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:54||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg21708
18146333|fr3-v43-r2-p1|def-rsadve_gpu|FAILED|42:0|00:02:49|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146333.batch|batch|def-rsadve_gpu|FAILED|42:0|00:02:49|1984468K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146333.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:49||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146413|fr3-v43-r2-p1|def-rsadve_gpu|COMPLETED|0:0|00:02:47|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146413.batch|batch|def-rsadve_gpu|COMPLETED|0:0|00:02:47|1989020K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146413.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:47||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146416|fr3-v43-r2-p1|def-rsadve_gpu|COMPLETED|0:0|00:02:42|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31803
18146416.batch|batch|def-rsadve_gpu|COMPLETED|0:0|00:02:42|1985592K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31803
18146416.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:42||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31803
18146417|fr3-v43-r2-p1|def-rsadve_gpu|COMPLETED|0:0|00:02:46|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg21708
18146417.batch|batch|def-rsadve_gpu|COMPLETED|0:0|00:02:46|1985376K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg21708
18146417.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:46||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg21708
18146432|fr3-v43-r2-p1|def-rsadve_gpu|COMPLETED|0:0|00:03:00|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg32501
18146432.batch|batch|def-rsadve_gpu|COMPLETED|0:0|00:03:00|2269500K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg32501
18146432.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:03:00||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg32501
18146442|fr3-v43-r2-p1|def-rsadve_gpu|FAILED|42:0|00:02:51|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31803
18146442.batch|batch|def-rsadve_gpu|FAILED|42:0|00:02:51|1985548K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31803
18146442.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:51||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31803
18146492|fr3-v43-r2-p1|def-rsadve_gpu|COMPLETED|0:0|00:02:47|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146492.batch|batch|def-rsadve_gpu|COMPLETED|0:0|00:02:47|1984364K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146492.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:47||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146493|fr3-v43-r2-p1|def-rsadve_gpu|COMPLETED|0:0|00:02:49|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31803
18146493.batch|batch|def-rsadve_gpu|COMPLETED|0:0|00:02:49|1985672K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31803
18146493.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:49||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31803
18146494|fr3-v43-r2-p1|def-rsadve_gpu|COMPLETED|0:0|00:02:44|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg21708
18146494.batch|batch|def-rsadve_gpu|COMPLETED|0:0|00:02:44|1986644K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg21708
18146494.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:44||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg21708
18146508|fr3-v43-r2-p1|def-rsadve_gpu|FAILED|42:0|00:02:48|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg32501
18146508.batch|batch|def-rsadve_gpu|FAILED|42:0|00:02:48|1986340K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg32501
18146508.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:48||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg32501
18146509|fr3-v43-r2-p1|def-rsadve_gpu|FAILED|42:0|00:02:48|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31803
18146509.batch|batch|def-rsadve_gpu|FAILED|42:0|00:02:48|1985376K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31803
18146509.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:48||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31803
18146579|fr3-v43-r2-p1|def-rsadve_gpu|COMPLETED|0:0|00:02:49|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146579.batch|batch|def-rsadve_gpu|COMPLETED|0:0|00:02:49|1985192K|0||cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146579.extern|extern|def-rsadve_gpu|COMPLETED|0:0|00:02:49||||billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg31501
18146580|fr3-v43-r2-p1|def-rsadve_gpu|COMPLETED|0:0|00:02:48|||124G|billing=12200,cpu=16,gres/gpu:h100=1,gres/gpu=1,mem=124G,node=1|rg21708
