campaign_seed,candidate_hard_gates_pass,bounded_schedule_scope_pass,original_v4_3_unresolved_intervals,scheduling_success_intervals,scheduling_failure_intervals,diagnostic_g8_intervals,maximum_guard_sector_count,maximum_critical_sector_count,maximum_mutable_sector_count,maximum_scheduled_fraction,maximum_schedule_solver_seconds,floor_violation_user_seconds,long_eess_violation_seconds,short_eess_violation_seconds,runtime_seconds
44001,False,True,200,136,64,0,0,3,3,0.497,0.6521651637740433,320,0,0,183.73786214599386
44007,False,False,304,262,42,1,8,2,9,0.919,0.6220888709649444,225,0,0,123.11299583106302
44008,False,False,186,63,123,3,8,2,10,0.359,0.01247863401658833,724,0,0,114.41420980007388
44013,True,True,186,186,0,0,0,1,1,0.3655,0.0823761650826782,0,0,0,116.59220928512514
44017,False,True,100,0,100,0,0,0,0,0.0,0.03593427501618862,1500,0,0,113.80584967206232
44018,True,True,204,204,0,0,0,4,4,0.5985,0.06684823101386428,0,0,0,116.11634298786521
44024,False,True,4,0,4,0,0,0,0,0.0,0.09719209093600512,76,0,0,114.07432157709263
44025,False,True,244,58,186,0,2,1,3,0.6935,0.03623814694583416,3676,0,0,117.79673728195485
44026,True,True,300,300,0,0,2,3,5,0.834,1.2083059400320053,0,0,0,133.14390300074592
44027,True,True,4,4,0,0,0,1,1,0.2315,0.0030536099802702665,0,0,0,110.96174898091704
44028,False,True,4,0,4,0,0,0,0,0.0,0.008565954864025116,19,0,0,109.35628091590479
