method_id,long_violation_seconds,short_violation_seconds,long_maximum_excess_db,short_maximum_excess_db,eligible_floor_violation_user_intervals,eligible_floor_violation_user_seconds,total_normalized_floor_shortfall,final_moving_pf_utility,duration_weighted_mean_moving_pf_utility,protected_active_eligible_p05_bps_hz,protected_active_eligible_geometric_mean_bps_hz,total_active_eligible_p05_bps_hz,total_active_eligible_geometric_mean_bps_hz,sector_mute_interval_count,intervals_with_any_sector_mute,maximum_muted_sector_count,runtime_seconds,extra,pass_slot,protected_sample_count,interval_count,method_action_sha256,method_sector_scale_sha256,method_stream_action_sha256,runtime_scope,candidate_strict_local_scope_gate,candidate_strict_post_mode_power_gate,candidate_q0_envelope_deployable_actions,candidate_unresolved_deployable_intervals,candidate_network_wide_shutdown_intervals,candidate_maximum_mutable_sector_count,candidate_maximum_external_interferers_per_violating_user,candidate_maximum_eess_backoff_sectors,candidate_maximum_strict_post_mode_power_ratio,candidate_maximum_q0_power_envelope_ratio,candidate_maximum_normalized_floor_shortfall,candidate_baseline_noop_intervals,candidate_local_grid_repair_intervals,candidate_local_stream_repair_intervals,candidate_information_exchange_locality_certified,candidate_action_scope_locality_verified,candidate_global_oracles_classification_only,candidate_local_table_build_seconds_sum,candidate_repair_solver_seconds_sum,candidate_local_table_build_seconds_max,candidate_repair_solver_seconds_max,candidate_repair_solver_seconds_p95_nonzero,candidate_changed_stream_coefficient_count_sum,candidate_changed_sector_interval_count_sum,candidate_maximum_changed_stream_coefficients_per_interval,candidate_maximum_changed_sectors_per_interval,candidate_incremental_float32_payload_lower_bound_bytes_sum,candidate_payload_claim_boundary,campaign_seed,development_replay
candidate_v4_4_floor_first_protected_subband_scheduling,0,0,-0.012541495957462956,-14.107576088303482,0,0,0.0,55.32791063154329,87.58342517208771,0.18765288761903462,1.9506809193151888,0.2674487685348913,2.2866798030943456,80,31,4,2.1099749230779707,"{'action_class_counts': {'SPARSE_LOCAL_STREAM_POWER_REPAIR': 98, 'BASELINE_NOOP': 20}, 'strict_local_scope_gate': 'PASS', 'strict_local_scope_violation_intervals': 0, 'strict_post_mode_selected_power_gate': 'PASS', 'strict_post_mode_power_violation_intervals': 0, 'q0_envelope_deployable_actions': 0, 'unresolved_deployable_intervals': 0, 'diagnostic_g8_scheduling_feasible_intervals': 0, 'network_wide_shutdown_intervals': 0, 'maximum_normalized_floor_shortfall': 0.0, 'maximum_mutable_sector_count': 21, 'maximum_external_interferers_per_violating_user': 2, 'maximum_eess_backoff_sectors': 2, 'maximum_post_mode_selected_power_ratio': 1.0, 'maximum_strict_post_mode_selected_power_ratio': 1.0, 'maximum_q0_nominal_power_envelope_ratio': 1.0, 'protected_subband_scheduling_intervals': 0, 'protected_subband_scheduling_success_intervals': 0, 'protected_subband_scheduling_failure_intervals': 0, 'protected_subband_scheduling_guard_limit_counts': {}, 'maximum_schedule_mode_count': 0, 'maximum_schedule_guard_sector_count': 0, 'schedule_slots_per_second': 2000, 'scheduled_nonbaseline_slots_per_second_sum': 0, 'maximum_scheduled_nonbaseline_slots_per_second': 0, 'maximum_protected_subband_scheduled_fraction': 0.0, 'maximum_schedule_nonzero_mode_count': 0, 'maximum_schedule_critical_sector_count': 0, 'maximum_schedule_mutable_sector_count': 0, 'local_table_build_seconds_sum': 0.41774463490583, 'local_table_build_seconds_max': 0.004006400005891919, 'repair_solver_seconds_sum': 1.463257576804608, 'repair_solver_seconds_max': 0.12217312795110047, 'repair_solver_seconds_p95_nonzero': 0.01575693084159866, 'schedule_solver_seconds_sum': 0.0, 'schedule_solver_seconds_max': 0.0, 'candidate_end_to_end_seconds': 2.109936341876164, 'information_exchange_locality_certified': False, 'action_scope_locality_verified': True, 'global_oracles_classification_only': True, 'changed_stream_coefficient_count_sum': 639, 'changed_sector_interval_count_sum': 388, 'maximum_changed_stream_coefficients_per_interval': 16, 'maximum_changed_sectors_per_interval': 8, 'incremental_float32_payload_lower_bound_bytes_sum': 2556, 'payload_claim_boundary': 'LOWER_BOUND_FOR_CHANGED_FLOAT32_STREAM_COEFFICIENTS_PLUS_SCHEDULE_COUNTS_NOT_A_SERIALIZED_PROTOCOL_MEASUREMENT', 'claim_boundary': 'DEVELOPMENT_REPLAY_ON_PREVIOUSLY_OBSERVED_SEEDS_NOT_CONFIRMATORY_NOT_CALIBRATION_NOT_REGULATORY_COMPLIANCE'}",0,587,118,f703f07c9e8d7c1bf999d702801a3445e58fa8cf9daa949ff92367568853ff13,1a4ec87ee14273dd52a00ff4562c3d393f3b39d0fcf450292fee596181f7ca4a,4703c7d9aab5231addea7a57c2120daadc65b2d9a398f3624e49e84d235ad940,candidate_end_to_end_including_sequential_fallback_and_repair_oracles,PASS,PASS,0.0,0.0,0.0,21.0,2.0,2.0,1.0,1.0,0.0,20.0,0.0,98.0,False,True,True,0.41774463490583,1.463257576804608,0.004006400005891919,0.12217312795110047,0.01575693084159866,639.0,388.0,16.0,8.0,2556.0,LOWER_BOUND_FOR_CHANGED_FLOAT32_STREAM_COEFFICIENTS_PLUS_SCHEDULE_COUNTS_NOT_A_SERIALIZED_PROTOCOL_MEASUREMENT,44024,True
robust_predictive_constrained_pf_with_sector_selective_fallback,0,0,-0.0002521967776822921,-14.107576088303482,386,1924,20.911639798118856,55.22728895384039,87.53787689610897,0.15115710446965586,1.978930685500749,0.26744359712613924,2.285708714442637,80,31,4,7.236381001072004,{'mode_command_feasible': True},0,587,118,f703f07c9e8d7c1bf999d702801a3445e58fa8cf9daa949ff92367568853ff13,4ba20720309e6572f78b3676946a63cba9e4542c5467759a6572e3e015814177,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44024,True
static_robust_constrained_pf_with_sector_selective_fallback,0,0,-0.004423082443945782,-14.804192376954761,396,1974,22.89724621595999,55.027148307455164,87.39445540897778,0.15037175506791914,1.9598516478021986,0.2674431297392905,2.2835408526107166,0,0,0,0.5620945880655199,"{'static_mode_feasible': True, 'static_pre_fallback_ratio': 0.514335363990788}",0,587,118,3f57f6c89a64c79b88d2589a0f457af93049da01d7c9e49b14a3f817f28415dc,539dc3a2e3951d02d6f5763edba3cc976213828a9b06bce5cb87d782a13b3e70,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44024,True
delayed_myopic_constrained_pf_with_reactive_sector_fallback,0,0,-0.002159309632802823,-14.104748832402672,388,1934,21.148264403255624,55.178015459802765,87.4484633221977,0.1507235976453754,1.9422970961985266,0.26744359710642196,2.2846450753053325,62,20,8,0.5170923529658467,{},0,587,118,0d255fe57e827bf4d4c678b662383f64e49f276360111cd659d355eb79fe04f9,c5862b6b53c313ac7e516a96a1cb87aac888c0d814cd0e9cde5b695d7ce25e79,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44024,True
delayed_myopic_constrained_pf_unshielded,45,0,3.345389494289539,-10.952160494926815,388,1934,21.07639358652126,55.197209438872534,87.49747776196588,0.15108723352222794,1.9775391446964732,0.2674435741061816,2.2852384654622355,0,0,0,6.631088946945965,{'mode_interval_max_ratio': 2.160423782342101},0,587,118,d7656dc1564db3b44ef997d2c786618b3d45a0d2a3f497797ecc83daa4c40064,206c55dc4e9a354aa3b3bcce52880cfde503dc24c7eda24b47d152d9e965c2f8,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44024,True
virtual_queue_unshielded,164,0,5.682402825558038,-9.036221555133938,386,1924,21.512915467302566,55.11886966453811,87.46271865648934,0.15054576486662782,1.969191140221982,0.26744070799498343,2.284837451439042,0,0,0,4.942833943059668,"{'maximum_queue': 4.34388741286052, 'price_gain': 1.0}",0,587,118,99b59d1b05bbc8076c9082063b2324cd3ba7b717cf938e5b938284f82bc04bc5,206c55dc4e9a354aa3b3bcce52880cfde503dc24c7eda24b47d152d9e965c2f8,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44024,True
uniform_protected_tone_backoff,0,0,2.8929823996598604e-15,-14.07949786528513,386,1924,20.860231370519507,55.17406119308204,87.2830074092149,0.15067435393413928,1.9502580067170099,0.26733041091118603,2.282239877110793,0,0,0,0.07785693882033229,{},0,587,118,f703f07c9e8d7c1bf999d702801a3445e58fa8cf9daa949ff92367568853ff13,ea8aa1d37bded22ce93b81d1674c7db8f1eca9895344ea8c75d0390f8c2b2daa,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44024,True
hard_spatial_null_or_exact_mute,0,0,-0.005233631729008626,-14.805384999804446,876,4374,35.903512415134365,54.99669044112146,86.49650541231706,0.0,1.2396091444982986,0.2646002659660157,2.269311817917145,285,5,57,0.017208119854331017,{},0,587,118,1b8552d981e4c61086437d2c5e5afe67390605d69d7669e7a325e611ebb48417,3b19b905a0a4183974bade86db0beaade0ab274a0dc4a4330f0fd74a4290e311,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44024,True
common_scale_instantaneous_noncausal_reference,0,0,9.64327466553286e-15,-14.539868540680223,396,1974,22.876051020670978,55.02934674303127,87.39756884981954,0.15042297807716848,1.960930688133312,0.2674431435309401,2.2835931900644306,0,0,0,0.22449516993947327,"{'time_resolution_seconds': 1, 'delay_intervals': 0, 'slew_constraint': False}",0,587,118,45bed1e7a2f394ed3604f1da4b142e1d2a4f67359171d95ddbd810f73934379c,206c55dc4e9a354aa3b3bcce52880cfde503dc24c7eda24b47d152d9e965c2f8,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44024,True
candidate_v4_4_floor_first_protected_subband_scheduling,0,0,-0.009651304783227049,-14.104394602186176,0,0,0.0,67.42690127600787,88.28970454618955,0.18185883787682663,1.9305292682640816,0.26477360418625495,2.26842533612168,70,29,4,2.0594578830059618,"{'action_class_counts': {'SPARSE_LOCAL_STREAM_POWER_REPAIR': 95, 'BASELINE_NOOP': 20}, 'strict_local_scope_gate': 'PASS', 'strict_local_scope_violation_intervals': 0, 'strict_post_mode_selected_power_gate': 'PASS', 'strict_post_mode_power_violation_intervals': 0, 'q0_envelope_deployable_actions': 0, 'unresolved_deployable_intervals': 0, 'diagnostic_g8_scheduling_feasible_intervals': 0, 'network_wide_shutdown_intervals': 0, 'maximum_normalized_floor_shortfall': 0.0, 'maximum_mutable_sector_count': 21, 'maximum_external_interferers_per_violating_user': 2, 'maximum_eess_backoff_sectors': 2, 'maximum_post_mode_selected_power_ratio': 1.0, 'maximum_strict_post_mode_selected_power_ratio': 1.0, 'maximum_q0_nominal_power_envelope_ratio': 1.0, 'protected_subband_scheduling_intervals': 0, 'protected_subband_scheduling_success_intervals': 0, 'protected_subband_scheduling_failure_intervals': 0, 'protected_subband_scheduling_guard_limit_counts': {}, 'maximum_schedule_mode_count': 0, 'maximum_schedule_guard_sector_count': 0, 'schedule_slots_per_second': 2000, 'scheduled_nonbaseline_slots_per_second_sum': 0, 'maximum_scheduled_nonbaseline_slots_per_second': 0, 'maximum_protected_subband_scheduled_fraction': 0.0, 'maximum_schedule_nonzero_mode_count': 0, 'maximum_schedule_critical_sector_count': 0, 'maximum_schedule_mutable_sector_count': 0, 'local_table_build_seconds_sum': 0.4032609376590699, 'local_table_build_seconds_max': 0.003768916940316558, 'repair_solver_seconds_sum': 1.4390553461853415, 'repair_solver_seconds_max': 0.22729232790879905, 'repair_solver_seconds_p95_nonzero': 0.015609245048835874, 'schedule_solver_seconds_sum': 0.0, 'schedule_solver_seconds_max': 0.0, 'candidate_end_to_end_seconds': 2.059426072984934, 'information_exchange_locality_certified': False, 'action_scope_locality_verified': True, 'global_oracles_classification_only': True, 'changed_stream_coefficient_count_sum': 641, 'changed_sector_interval_count_sum': 386, 'maximum_changed_stream_coefficients_per_interval': 16, 'maximum_changed_sectors_per_interval': 8, 'incremental_float32_payload_lower_bound_bytes_sum': 2564, 'payload_claim_boundary': 'LOWER_BOUND_FOR_CHANGED_FLOAT32_STREAM_COEFFICIENTS_PLUS_SCHEDULE_COUNTS_NOT_A_SERIALIZED_PROTOCOL_MEASUREMENT', 'claim_boundary': 'DEVELOPMENT_REPLAY_ON_PREVIOUSLY_OBSERVED_SEEDS_NOT_CONFIRMATORY_NOT_CALIBRATION_NOT_REGULATORY_COMPLIANCE'}",1,571,115,db234dab8f691a8fb0187826c3e6716044e0e697f10b836dcfc6530ee1ace173,d38f0a9eaecade02c1e9eda70c04a70806a0eee2fceb86fa48228842b494b52a,0fc1278f87be80c4dccd458421a7321fcf77c5e1aee7ddc20f365ca85079663c,candidate_end_to_end_including_sequential_fallback_and_repair_oracles,PASS,PASS,0.0,0.0,0.0,21.0,2.0,2.0,1.0,1.0,0.0,20.0,0.0,95.0,False,True,True,0.4032609376590699,1.4390553461853415,0.003768916940316558,0.22729232790879905,0.015609245048835874,641.0,386.0,16.0,8.0,2564.0,LOWER_BOUND_FOR_CHANGED_FLOAT32_STREAM_COEFFICIENTS_PLUS_SCHEDULE_COUNTS_NOT_A_SERIALIZED_PROTOCOL_MEASUREMENT,44024,True
