method_id,long_violation_seconds,short_violation_seconds,long_maximum_excess_db,short_maximum_excess_db,eligible_floor_violation_user_intervals,eligible_floor_violation_user_seconds,total_normalized_floor_shortfall,final_moving_pf_utility,duration_weighted_mean_moving_pf_utility,protected_active_eligible_p05_bps_hz,protected_active_eligible_geometric_mean_bps_hz,total_active_eligible_p05_bps_hz,total_active_eligible_geometric_mean_bps_hz,sector_mute_interval_count,intervals_with_any_sector_mute,maximum_muted_sector_count,runtime_seconds,extra,pass_slot,protected_sample_count,interval_count,method_action_sha256,method_sector_scale_sha256,method_stream_action_sha256,runtime_scope,candidate_strict_local_scope_gate,candidate_strict_post_mode_power_gate,candidate_q0_envelope_deployable_actions,candidate_unresolved_deployable_intervals,candidate_network_wide_shutdown_intervals,candidate_maximum_mutable_sector_count,candidate_maximum_external_interferers_per_violating_user,candidate_maximum_eess_backoff_sectors,candidate_maximum_strict_post_mode_power_ratio,candidate_maximum_q0_power_envelope_ratio,candidate_maximum_normalized_floor_shortfall,candidate_baseline_noop_intervals,candidate_local_grid_repair_intervals,candidate_local_stream_repair_intervals,candidate_information_exchange_locality_certified,candidate_action_scope_locality_verified,candidate_global_oracles_classification_only,candidate_local_table_build_seconds_sum,candidate_repair_solver_seconds_sum,candidate_local_table_build_seconds_max,candidate_repair_solver_seconds_max,candidate_repair_solver_seconds_p95_nonzero,candidate_changed_stream_coefficient_count_sum,candidate_changed_sector_interval_count_sum,candidate_maximum_changed_stream_coefficients_per_interval,candidate_maximum_changed_sectors_per_interval,candidate_incremental_float32_payload_lower_bound_bytes_sum,candidate_payload_claim_boundary,campaign_seed,development_replay
candidate_v4_5_companion_aware_protected_subband_scheduling,0,0,-0.008555936160640067,-14.490949160730022,0,0,0.0,81.64258827898583,122.59242770365658,0.25506680212126615,2.390591381883792,0.30681745949757017,2.6733452832476314,165,49,7,4.080100500956178,"{'action_class_counts': {'FLOOR_FIRST_PROTECTED_SUBBAND_SCHEDULING_G0': 40, 'SPARSE_LOCAL_STREAM_POWER_REPAIR': 58, 'BASELINE_NOOP': 20}, 'strict_local_scope_gate': 'PASS', 'strict_local_scope_violation_intervals': 0, 'strict_post_mode_selected_power_gate': 'PASS', 'strict_post_mode_power_violation_intervals': 0, 'q0_envelope_deployable_actions': 0, 'unresolved_deployable_intervals': 0, 'diagnostic_g8_scheduling_feasible_intervals': 0, 'network_wide_shutdown_intervals': 0, 'maximum_normalized_floor_shortfall': 0.0, 'maximum_mutable_sector_count': 14, 'maximum_external_interferers_per_violating_user': 2, 'maximum_eess_backoff_sectors': 2, 'maximum_post_mode_selected_power_ratio': 1.0000000000000004, 'maximum_strict_post_mode_selected_power_ratio': 1.0000000000000004, 'maximum_q0_nominal_power_envelope_ratio': 1.0000000000000002, 'protected_subband_scheduling_intervals': 40, 'protected_subband_scheduling_success_intervals': 40, 'protected_subband_scheduling_failure_intervals': 0, 'protected_subband_scheduling_guard_limit_counts': {'0': 40}, 'maximum_schedule_mode_count': 108, 'maximum_schedule_guard_sector_count': 0, 'schedule_slots_per_second': 2000, 'scheduled_nonbaseline_slots_per_second_sum': 47133, 'maximum_scheduled_nonbaseline_slots_per_second': 1184, 'maximum_protected_subband_scheduled_fraction': 0.592, 'maximum_schedule_nonzero_mode_count': 5, 'maximum_schedule_critical_sector_count': 4, 'maximum_schedule_mutable_sector_count': 4, 'local_table_build_seconds_sum': 0.4116420759819448, 'local_table_build_seconds_max': 0.004372680094093084, 'repair_solver_seconds_sum': 2.038700585719198, 'repair_solver_seconds_max': 0.1439473321661353, 'repair_solver_seconds_p95_nonzero': 0.062135388934984784, 'schedule_solver_seconds_sum': 1.4052664074115455, 'schedule_solver_seconds_max': 0.1886570118367672, 'candidate_end_to_end_seconds': 4.080071321222931, 'information_exchange_locality_certified': False, 'action_scope_locality_verified': True, 'global_oracles_classification_only': True, 'changed_stream_coefficient_count_sum': 612, 'changed_sector_interval_count_sum': 218, 'maximum_changed_stream_coefficients_per_interval': 14, 'maximum_changed_sectors_per_interval': 4, 'incremental_float32_payload_lower_bound_bytes_sum': 3564, 'payload_claim_boundary': 'LOWER_BOUND_FOR_CHANGED_FLOAT32_STREAM_COEFFICIENTS_PLUS_SCHEDULE_COUNTS_NOT_A_SERIALIZED_PROTOCOL_MEASUREMENT', 'claim_boundary': 'DEVELOPMENT_REPLAY_ON_PREVIOUSLY_OBSERVED_SEEDS_NOT_CONFIRMATORY_NOT_CALIBRATION_NOT_REGULATORY_COMPLIANCE'}",0,587,118,6cde936ffbdb6b102682f58b93e89e33cb91d6e2c173ce940a2c361066946e45,5af1e2157408771303ac5304871965e9acb027895962d1fcb41e67c31814cc2f,5e149961eda542a432aefbd2c939fb3a108a58e4dcc35596718f0080049f559a,candidate_end_to_end_including_sequential_fallback_and_repair_oracles,PASS,PASS,0.0,0.0,0.0,14.0,2.0,2.0,1.0000000000000004,1.0000000000000002,0.0,20.0,0.0,58.0,False,True,True,0.4116420759819448,2.038700585719198,0.004372680094093084,0.1439473321661353,0.062135388934984784,612.0,218.0,14.0,4.0,3564.0,LOWER_BOUND_FOR_CHANGED_FLOAT32_STREAM_COEFFICIENTS_PLUS_SCHEDULE_COUNTS_NOT_A_SERIALIZED_PROTOCOL_MEASUREMENT,44018,True
robust_predictive_constrained_pf_with_sector_selective_fallback,0,0,-0.0033801364547378808,-14.461301986144324,218,1087,8.723335353394958,81.6683331858853,122.57765367575146,0.22161573600835277,2.368456513977226,0.3010066174353968,2.672913736216668,165,49,7,6.9941669618710876,{'mode_command_feasible': True},0,587,118,6cde936ffbdb6b102682f58b93e89e33cb91d6e2c173ce940a2c361066946e45,66281e3993bc75133bc57dfb5108858a862270ca2d661b959b190d7a74f56900,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44018,True
static_robust_constrained_pf_with_sector_selective_fallback,0,0,-0.24437174957808475,-14.987859699866231,218,1087,9.130018684945377,81.3476735020262,122.39297778130427,0.22059654044389057,2.348275334646473,0.30099801014782374,2.6699605985555595,0,0,0,0.5483217239379883,"{'static_mode_feasible': True, 'static_pre_fallback_ratio': 0.3106497636480207}",0,587,118,c86998fcf03865ab81cbec0bdcf9b9288bcf7b4741b124dea851c0fb04bb41d0,206c55dc4e9a354aa3b3bcce52880cfde503dc24c7eda24b47d152d9e965c2f8,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44018,True
delayed_myopic_constrained_pf_with_reactive_sector_fallback,0,0,-0.0010207151689539218,-14.477180580990813,218,1087,8.687912584636956,81.6635067904103,122.57207905210996,0.22163810838234513,2.372386690401246,0.30101047016195515,2.672900205876982,154,41,7,0.5116665870882571,{},0,587,118,9a0e8048ea72cf6107978ba3b0791b4f40a71f6e9522afe1e7039170edc3d74e,2e1afaacdf37f68446a6f78cbbb2ecf101d423fa09c68820bcc1836a7e3b6e4a,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44018,True
delayed_myopic_constrained_pf_unshielded,42,0,4.976202709734692,-9.563447512085032,218,1087,8.677705632402663,81.46126659215162,122.49753960334283,0.22056089957968375,2.3702641193478393,0.30101047018303384,2.672205733254659,0,0,0,6.510748388245702,{'mode_interval_max_ratio': 3.144997256815089},0,587,118,6aa19b88ec2647b659cd2810b8d495a71414521463fd68a629a9829398361256,206c55dc4e9a354aa3b3bcce52880cfde503dc24c7eda24b47d152d9e965c2f8,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44018,True
virtual_queue_unshielded,142,0,6.762756278196309,-8.078267396061806,218,1087,9.111427051277118,81.38718738713003,122.43792444879756,0.22134673547870087,2.354420062025672,0.30099819199365807,2.67075648909879,0,0,0,4.794274307787418,"{'maximum_queue': 7.232044349587975, 'price_gain': 1.0}",0,587,118,47faf7916761e630a0a9cec7f0969d8d3bb5456d738d6f7bac0b448446332734,206c55dc4e9a354aa3b3bcce52880cfde503dc24c7eda24b47d152d9e965c2f8,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44018,True
uniform_protected_tone_backoff,0,0,9.64327466553287e-16,-14.437464360501938,218,1087,8.728029144623896,81.41693942832018,122.37133009889664,0.22061978391511217,2.352177872788652,0.3010066174353968,2.670258482833417,0,0,0,0.0787673182785511,{},0,587,118,6cde936ffbdb6b102682f58b93e89e33cb91d6e2c173ce940a2c361066946e45,16fc31d8ca892db78751fc8bedac709fdf42b624cb8d0ca5dbd30695568d5b89,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44018,True
hard_spatial_null_or_exact_mute,0,0,-0.264629822940234,-15.007619065283794,258,1287,9.13330557090972,81.34089672826582,122.38104823575858,0.22059633614412757,2.346493208864315,0.3009980101856165,2.669720578397652,0,0,0,0.017421378754079342,{},0,587,118,1b8552d981e4c61086437d2c5e5afe67390605d69d7669e7a325e611ebb48417,206c55dc4e9a354aa3b3bcce52880cfde503dc24c7eda24b47d152d9e965c2f8,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44018,True
common_scale_instantaneous_noncausal_reference,0,0,1.157192959863943e-14,-14.718255364819747,233,1162,9.117865114128882,81.34317382568136,122.38282108990482,0.22104343794677753,2.3469573666327896,0.30099830153932283,2.669751800860989,0,0,0,0.22573883505538106,"{'time_resolution_seconds': 1, 'delay_intervals': 0, 'slew_constraint': False}",0,587,118,24934d445ab4a4b421f8e12e3e2e1cef88356443c8cec499b39872184322f55a,206c55dc4e9a354aa3b3bcce52880cfde503dc24c7eda24b47d152d9e965c2f8,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44018,True
candidate_v4_5_companion_aware_protected_subband_scheduling,0,0,-0.002943165575489369,-14.571119587114271,0,0,0.0,93.7418654384267,123.55340939183078,0.255041036890939,2.3782309381120705,0.30244369735739796,2.6539367230644917,160,45,7,2.346040142234415,"{'action_class_counts': {'FLOOR_FIRST_PROTECTED_SUBBAND_SCHEDULING_G0': 40, 'SPARSE_LOCAL_STREAM_POWER_REPAIR': 55, 'BASELINE_NOOP': 20}, 'strict_local_scope_gate': 'PASS', 'strict_local_scope_violation_intervals': 0, 'strict_post_mode_selected_power_gate': 'PASS', 'strict_post_mode_power_violation_intervals': 0, 'q0_envelope_deployable_actions': 0, 'unresolved_deployable_intervals': 0, 'diagnostic_g8_scheduling_feasible_intervals': 0, 'network_wide_shutdown_intervals': 0, 'maximum_normalized_floor_shortfall': 0.0, 'maximum_mutable_sector_count': 14, 'maximum_external_interferers_per_violating_user': 2, 'maximum_eess_backoff_sectors': 2, 'maximum_post_mode_selected_power_ratio': 1.0, 'maximum_strict_post_mode_selected_power_ratio': 1.0, 'maximum_q0_nominal_power_envelope_ratio': 1.0, 'protected_subband_scheduling_intervals': 40, 'protected_subband_scheduling_success_intervals': 40, 'protected_subband_scheduling_failure_intervals': 0, 'protected_subband_scheduling_guard_limit_counts': {'0': 40}, 'maximum_schedule_mode_count': 108, 'maximum_schedule_guard_sector_count': 0, 'schedule_slots_per_second': 2000, 'scheduled_nonbaseline_slots_per_second_sum': 47105, 'maximum_scheduled_nonbaseline_slots_per_second': 1184, 'maximum_protected_subband_scheduled_fraction': 0.592, 'maximum_schedule_nonzero_mode_count': 5, 'maximum_schedule_critical_sector_count': 4, 'maximum_schedule_mutable_sector_count': 4, 'local_table_build_seconds_sum': 0.39849045407027006, 'local_table_build_seconds_max': 0.0037575322203338146, 'repair_solver_seconds_sum': 1.291153515689075, 'repair_solver_seconds_max': 0.02019745111465454, 'repair_solver_seconds_p95_nonzero': 0.018854419328272344, 'schedule_solver_seconds_sum': 0.4514316413551569, 'schedule_solver_seconds_max': 0.015376765746623278, 'candidate_end_to_end_seconds': 2.346008700784296, 'information_exchange_locality_certified': False, 'action_scope_locality_verified': True, 'global_oracles_classification_only': True, 'changed_stream_coefficient_count_sum': 600, 'changed_sector_interval_count_sum': 215, 'maximum_changed_stream_coefficients_per_interval': 14, 'maximum_changed_sectors_per_interval': 4, 'incremental_float32_payload_lower_bound_bytes_sum': 3520, 'payload_claim_boundary': 'LOWER_BOUND_FOR_CHANGED_FLOAT32_STREAM_COEFFICIENTS_PLUS_SCHEDULE_COUNTS_NOT_A_SERIALIZED_PROTOCOL_MEASUREMENT', 'claim_boundary': 'DEVELOPMENT_REPLAY_ON_PREVIOUSLY_OBSERVED_SEEDS_NOT_CONFIRMATORY_NOT_CALIBRATION_NOT_REGULATORY_COMPLIANCE'}",1,571,115,8c127e8f7148ffe67f016e1571f5dbae9e048e5881512e4bf060af73c14ee586,ad3ed0f45f017ed8bbd6cfe30c26647de7df6581dcfdbbccc4a0850a50453aba,4ba9562df6d654b62afa162f326a5e30fd914ea9ca9f7b98008f0bd59d74856b,candidate_end_to_end_including_sequential_fallback_and_repair_oracles,PASS,PASS,0.0,0.0,0.0,14.0,2.0,2.0,1.0,1.0,0.0,20.0,0.0,55.0,False,True,True,0.39849045407027006,1.291153515689075,0.0037575322203338146,0.02019745111465454,0.018854419328272344,600.0,215.0,14.0,4.0,3520.0,LOWER_BOUND_FOR_CHANGED_FLOAT32_STREAM_COEFFICIENTS_PLUS_SCHEDULE_COUNTS_NOT_A_SERIALIZED_PROTOCOL_MEASUREMENT,44018,True
