campaign_seed,candidate_hard_gates_pass,bounded_schedule_scope_pass,original_v4_3_unresolved_intervals,scheduling_success_intervals,scheduling_failure_intervals,diagnostic_g8_intervals,maximum_guard_sector_count,maximum_critical_sector_count,maximum_mutable_sector_count,maximum_scheduled_fraction,maximum_schedule_solver_seconds,floor_violation_user_seconds,long_eess_violation_seconds,short_eess_violation_seconds,runtime_seconds
44001,False,True,200,136,64,0,0,3,3,0.497,0.18600202212110162,320,0,0,116.64709538826719
44007,False,True,304,263,41,0,4,2,6,0.919,0.5766020370647311,220,0,0,121.92132171103731
44008,False,True,186,66,120,0,4,2,6,0.3645,0.2987595689482987,694,0,0,117.83034521900117
44013,True,True,186,186,0,0,0,1,1,0.3655,0.0026409346610307693,0,0,0,112.95150163210928
44017,False,True,100,0,100,0,0,0,0,0.0,0.3314899019896984,1500,0,0,128.0614136219956
44018,True,True,204,204,0,0,0,4,4,0.5985,0.1886570118367672,0,0,0,117.87883948907256
44024,False,True,4,0,4,0,0,0,0,0.0,0.3055598926730454,76,0,0,111.03884530812502
44025,False,True,244,58,186,0,2,1,3,0.6935,0.0799874709919095,3676,0,0,124.6937395920977
44026,True,True,300,300,0,0,2,3,5,0.834,1.151513610035181,0,0,0,284.12490444723517
44027,True,True,4,4,0,0,0,1,1,0.2315,0.16459840396419168,0,0,0,206.24008345790207
44028,False,True,4,0,4,0,0,0,0,0.0,0.017181325238198042,19,0,0,183.6218579178676
