seed,pass,physical_seconds,peak_pattern_long_violation_seconds,peak_pattern_short_violation_seconds,peak_pattern_max_long_ratio,peak_pattern_max_short_ratio
44030,0,587,582,0,1.9991413514859118,0.07260850934756097
44030,1,571,566,0,1.9995694508978372,0.07287940257219801
44030,2,581,576,0,1.9996927922919865,0.07530754599307543
44030,3,594,589,0,1.999990506211683,0.07648963831168341
44030,4,605,600,0,1.999796566755905,0.07540527681460527
44031,0,587,569,0,1.9996316500056113,0.07148505700112921
44031,1,571,558,0,1.9996316500056113,0.07107483852388172
44031,2,581,573,0,1.9995162120398817,0.07380903952697168
44031,3,594,586,0,1.9999534944914612,0.07228662768920971
44031,4,605,598,0,1.9999817906139166,0.07180306790158743
44032,0,587,587,0,1.9981014466909097,0.07744759368715858
44032,1,571,571,0,1.9994345609261037,0.07720356539837439
44032,2,581,579,0,1.998882920979068,0.07605743345937001
44032,3,594,591,0,1.997261075903053,0.07592656831445413
44032,4,605,598,0,1.9999247111547667,0.07520107158246035
44033,0,587,582,0,1.9997371441347291,0.0761815899069639
44033,1,571,566,0,1.9996724785350461,0.07631588992693991
44033,2,581,571,0,1.9986889444869975,0.07628804647223404
44033,3,594,584,0,1.999902847670747,0.07572489503617416
44033,4,605,595,0,1.998761171378242,0.07587002204362531
44034,0,587,544,0,1.9941443856560008,0.07560033789021314
44034,1,571,528,0,1.9966975630092993,0.07571255542617412
44034,2,581,576,0,1.9946874072064547,0.07642310100302384
44034,3,594,581,0,1.9946874072064547,0.0745625006067731
44034,4,605,595,0,1.9998457740255715,0.07438032341327745
44035,0,587,434,0,1.9999389949712518,0.07528779977351238
44035,1,571,422,0,1.9992352444732728,0.07516511757915405
44035,2,581,447,0,1.9998642993328926,0.07482389668526707
44035,3,594,456,0,1.9997659852382283,0.07445350158982177
44035,4,605,470,0,1.9997629299725035,0.07443715522253011
44036,0,587,564,0,1.9999606604400293,0.07763443299736537
44036,1,571,530,0,1.999243389932543,0.07768323995162582
44036,2,581,518,0,1.999795064014882,0.07794444964680573
44036,3,594,531,0,1.9996748672552696,0.07795302809620475
44036,4,605,532,0,1.9997509603082315,0.07634614961237199
44037,0,587,587,0,1.9999790406783744,0.07388582542167312
44037,1,571,571,0,1.999034847173753,0.07388582542167312
44037,2,581,551,0,1.9992905305346031,0.07375402842287951
44037,3,594,564,0,1.9992905305346031,0.07390098936829027
44037,4,605,575,0,1.999674055285248,0.0733578740363952
44038,0,587,583,0,1.999278116872591,0.0770346870734951
44038,1,571,570,0,1.9938747104561951,0.07705114307505971
44038,2,581,552,0,1.999797929800462,0.07757407069903156
44038,3,594,568,0,1.9998979417341913,0.07763650737864014
44038,4,605,576,0,1.9997462358417804,0.07764221066014293
44039,0,587,527,0,1.9999999882466313,0.07644577056619685
44039,1,571,501,0,1.9999999876705217,0.07806018225965879
44039,2,581,476,0,1.999858390035884,0.07805271545018704
44039,3,594,501,0,1.9995347908265342,0.07716872444544326
44039,4,605,503,0,1.9998792946060377,0.07858241850843162
44040,0,587,582,0,1.9997217923491426,0.07813054587520721
44040,1,571,566,0,1.999280110059924,0.07807610464150061
44040,2,581,576,0,1.9989019332118922,0.0776872316568736
44040,3,594,589,0,1.9991596606920667,0.0783751923240552
44040,4,605,600,0,1.9977064630152523,0.0794193452082035
44041,0,587,587,0,1.9992698251741234,0.07605450315013264
44041,1,571,571,0,1.9997558647229632,0.07422988535603194
44041,2,581,551,0,1.9986949402844312,0.07219019131136212
