pass_slot,interval_index,interval_seconds,chosen_action_class,pre_repair_floor_violation_count,candidate_floor_violation_count,candidate_long_violation_seconds,candidate_short_violation_seconds,mutable_sector_count,mutable_sectors,critical_serving_sectors,external_backoff_sectors,eess_backoff_sectors,scalar_backoff_sectors,strict_local_scope_gate,changed_sector_count,changed_sectors,changed_sector_equivalent_scales,muted_sector_count,muted_sectors,changed_stream_count,changed_streams,maximum_critical_q0_nominal_power_envelope_ratio,maximum_critical_strict_post_mode_baseline_power_ratio,q0_power_headroom_used,candidate_stream_scale_sha256
0,0,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,0;5;10;26;51,5,10;26,0;51,0;10;26;51,PASS,1,5,5:0.70805003800016297,0,,3,5:0:0.017489444628449532;5:1:0.7082314641001386;5:2:0,0.6960064606791018,0.708050038000163,False,f4571f6c1d27cd7cf0db9b5191f646ffae56477feb29456ac6bc8f0be06a8461
0,1,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,0;5;10;26;51,5,10;26,0;51,0;10;26;51,PASS,1,5,5:0.70802549492225908,0,,3,5:0:0.017519779451086091;5:1:0.70820690594542279;5:2:0,0.6959823350666883,0.7080254949222591,False,bdd4801b0e6b13030510df0fa05badbd16b0a40e110f3c989334cdcc0a252077
0,2,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,0;5;10;26;51,5,10;26,0;51,0;10;26;51,PASS,1,5,5:0.70809710419510363,0,,3,5:0:0.017553215732780104;5:1:0.70827852889002185;5:2:0,0.6960527272877737,0.7080971041951036,False,29d3e9e7fdf2b830a059d9d067e13f9f7bf3046447ea55d84e4897f15f1f88e6
0,3,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,0;5;10;26;51,5,10;26,0;51,0;10;26;51,PASS,1,5,5:0.70846830374354375,0,,3,5:0:0.017551405562137617;5:1:0.70864984285012844;5:2:0,0.6964176176926457,0.7084683037435437,False,cc5607176d44a3a8c913909655a41273ce283eb5c5561c4a2c3f935418d3dc30
0,4,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,0;5;10;26;51,5,10;26,0;51,0;10;26;51,PASS,1,5,5:0.70901944098199943,0,,3,5:0:0.017515637422726854;5:1:0.70920115818529461;5:2:0,0.6969593899008396,0.7090194409819994,False,21c5f0247305dc6813d59a13469d0e9d623b516313597506e0880d834f2e4845
0,5,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,0;5;10;26;33,5,10;26,0;33,0;10;26;33,PASS,1,5,5:0.70976763709277124,0,,3,5:0:0.017515484759576531;5:1:0.70994958403663277;5:2:0,0.6976948786292415,0.7097676370927712,False,2a77bde1841944a4cb07e72289c7ce1df046ab83048b5f10b0bc593685bab5e0
0,6,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,1,0,0,5,5;10;12;26;51,5,10;26,12;51,10;12;26;51,PASS,1,5,5:0.71079567263004007,0,,3,5:0:0.017552477189713596;5:1:0.71097792599207887;5:2:0,0.6987054658972132,0.7107956726300401,False,3732cbe59aef2cdf360f56234099708d3bee04a74950987a1d73f3406820c2f1
0,7,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,1,0,0,5,5;10;26;39;45,5,10;26,39;45,10;26;39;45,PASS,1,5,5:0.7122419245962649,0,,3,5:0:0.017596584556898852;5:1:0.71242461100251242;5:2:0,0.7001271940652443,0.7122419245962649,False,9acc7318696485d51d4fef85df536e1db595cedc4936772277674889835f4d23
0,8,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,1,0,0,5,5;10;26;27;51,5,10;26,27;51,10;26;27;51,PASS,1,5,5:0.71428067711266152,0,,3,5:0:0.017653852437493588;5:1:0.71446397519147975;5:2:0,0.7021314210750101,0.7142806771126615,False,6249fae4b63e69d48350f9f04c29c6149fb4f3b2dd9ba0f8f516a7d27663aae3
0,9,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,5;10;26;45;51,5,10;26,45;51,10;26;45;51,PASS,1,5,5:0.71726532453594005,0,,3,5:0:0.017652722101916759;5:1:0.71744953919902632;5:2:0,0.7050656074027609,0.71726532453594,False,36d3bd0c9ce22a68e077cfc6b445b15840c3dfd5c3340a90b1d644a9d2e03bc0
0,10,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,5;10;26;45;51,5,10;26,45;51,10;26;45;51,PASS,1,5,5:0.72151415490046389,0,,3,5:0:0.017651085246628846;5:1:0.72169967437769755;5:2:0,0.7092427830581634,0.7215141549004639,False,3ca55cbf5eca9c44a90a5bf4a575f1ee55a6a11fe75d1cbb170a4a6bb8287a1b
0,11,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,5;10;26;45;51,5,10;26,45;51,10;26;45;51,PASS,1,5,5:0.7275792706917209,0,,3,5:0:0.017648719714503304;5:1:0.72776665275611752;5:2:0,0.7152059762576223,0.7275792706917209,False,83e52856dff4661e7d5f86be6a306dbd9663edd035831df67c0a506f2d33f677
0,12,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,0;5;10;26;51,5,10;26,0;51,0;10;26;51,PASS,1,5,5:0.7362904894383453,0,,3,5:0:0.017542100756493925;5:1:0.73648057233641384;5:2:0,0.7237715380593872,0.7362904894383453,False,3c2ecc627a272b596ac1dd08d1d8ba2d3bc6b00abe8c76ce39a1c7981014a660
0,13,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,1,0,0,5,5;10;26;39;40,5,10;26,39;40,10;26;39;40,PASS,1,5,5:0.74889989138262558,0,,3,5:0:0.01750584837337071;5:1:0.74909385429071351;5:2:0,0.7361715929249361,0.7488998913826256,False,027827dae3d467486dfc117f0af7b66b4150a96af7afe1d5c719c961ca870cec
0,14,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,0;5;10;26;51,5,10;26,0;51,0;10;26;51,PASS,1,5,5:0.76721147796921974,0,,3,5:0:0.017633610783676822;5:1:0.76741103050385606;5:2:0,0.7541822726702004,0.7672114779692197,False,04689f5b2a5abb0fac67acb19c5617281f63bb3b9b03c77b364cc956ba979fc5
0,15,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,1,0,0,5,5;10;26;40;51,5,10;26,40;51,10;26;40;51,PASS,1,5,5:0.7940581365325462,0,,3,5:0:0.017620786869007584;5:1:0.79426593348980168;5:2:0,0.7805943115823233,0.7940581365325462,False,5b354aa7b9902e69617796b426200094d1a97abeec5997b499e6be9542e5ca33
0,16,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,5;10;26;48;51,5,10;26,48;51,10;26;48;51,PASS,1,5,5:0.83462762143140357,0,,3,5:0:0.017605022545403397;5:1:0.83484787543720762;5:2:0,0.8205205926907913,0.8346276214314036,False,29ff4dd999d4706798561f0b84256de94f9536fab9e99f765769da2ce1469c58
0,17,5,SPARSE_LOCAL_STREAM_POWER_REPAIR,1,0,0,0,5,5;10;26;41;48,5,10;26,41;48,10;26;41;48,PASS,1,5,5:0.79433134042320519,0,,1,5:3:0.89264233206857724,0.9832084755043066,1.0000039098432965,True,2aa283bf7bf84243d5251f9d292aa42f723dfa53bab42e3a7617da13f4591508
0,18,5,SPARSE_LOCAL_FROZEN_GRID_SECTOR_REPAIR,1,0,0,0,5,5;10;26;41;51,5,10;26,41;51,10;26;41;51,PASS,4,5;10;26;51,5:0.79432823472428149;10:0.50118723362727224;26:0.79432823472428138;51:0.63095734448019325,0,,16,5:0:0.79432823472428149;5:1:0.79432823472428149;5:2:0.79432823472428149;5:3:0.79432823472428149;10:0:0.50118723362727224;10:1:0.50118723362727224;10:2:0.50118723362727224;10:3:0.50118723362727224;26:0:0.79432823472428149;26:1:0.79432823472428149;26:2:0.79432823472428149;26:3:0.79432823472428149;51:0:0.63095734448019325;51:1:0.63095734448019325;51:2:0.63095734448019325;51:3:0.63095734448019325,0.0,0.0,False,00fe1b8b2116a1dee63cbb177f43debc0cf9c435efa106a2d0ce0c73d3250682
0,19,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,b16a6389b0a6260550d7a8830c1164f38e63eba033f0a08580ead58130a8fe74
0,20,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,99fde3f09e90131b1502cbc68288c4b0f55c8588ffd536d2338477a7d232893b
0,21,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,e4a9db9369af24a4f03e80ef4f46c5de415904da00fd3d7daf61e1c6c84517c1
0,22,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,99fde3f09e90131b1502cbc68288c4b0f55c8588ffd536d2338477a7d232893b
0,23,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,3c2760ae85e151d9e3ded3d059eccfd906b01e3f3db2d79aa36f1eca02672036
0,24,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,eb54d362d4abb8d6178bec6cdc5813a3038d8e2aa4dd16c80793a9af933d8864
0,25,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,027f640ed6212ccb3b9cf93dbde1df06f1422da1db350cb9bfb82f8c9a01b806
0,26,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,e4a9db9369af24a4f03e80ef4f46c5de415904da00fd3d7daf61e1c6c84517c1
0,27,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,111a7fbcf44ffeddad6c700a73092346f29e3391689a4161435ae593457806b9
0,28,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,111a7fbcf44ffeddad6c700a73092346f29e3391689a4161435ae593457806b9
0,29,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,111a7fbcf44ffeddad6c700a73092346f29e3391689a4161435ae593457806b9
0,30,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,d0e8b24a562d12b55a2b4d52a99a05d338726522e4c3ec896cf7163f08b91f14
0,31,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,d0e8b24a562d12b55a2b4d52a99a05d338726522e4c3ec896cf7163f08b91f14
0,32,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,d0e8b24a562d12b55a2b4d52a99a05d338726522e4c3ec896cf7163f08b91f14
0,33,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,111a7fbcf44ffeddad6c700a73092346f29e3391689a4161435ae593457806b9
0,34,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,f1519a1a762b0ac94d202c5c85439c596e14cdc809768ac8b6e1a6fded6c67a6
0,35,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,6a568ef866a5fb6a470b0391c895b5cc2d18aeecc3b5afc9b50e07abcc938788
0,36,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,99fde3f09e90131b1502cbc68288c4b0f55c8588ffd536d2338477a7d232893b
0,37,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,6a568ef866a5fb6a470b0391c895b5cc2d18aeecc3b5afc9b50e07abcc938788
0,38,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,99fde3f09e90131b1502cbc68288c4b0f55c8588ffd536d2338477a7d232893b
0,39,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,f1519a1a762b0ac94d202c5c85439c596e14cdc809768ac8b6e1a6fded6c67a6
0,40,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,e4a9db9369af24a4f03e80ef4f46c5de415904da00fd3d7daf61e1c6c84517c1
0,41,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,e4a9db9369af24a4f03e80ef4f46c5de415904da00fd3d7daf61e1c6c84517c1
0,42,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,2efc081ce46d8ea0413074ed11299119d8458958d3ce74dabb8676d9553b393c
0,43,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,e4a9db9369af24a4f03e80ef4f46c5de415904da00fd3d7daf61e1c6c84517c1
0,44,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,2efc081ce46d8ea0413074ed11299119d8458958d3ce74dabb8676d9553b393c
0,45,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,e4a9db9369af24a4f03e80ef4f46c5de415904da00fd3d7daf61e1c6c84517c1
0,46,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,2efc081ce46d8ea0413074ed11299119d8458958d3ce74dabb8676d9553b393c
0,47,5,BASELINE_NOOP,0,0,0,0,0,,,,,,PASS,0,,,0,,0,,0.0,0.0,False,2efc081ce46d8ea0413074ed11299119d8458958d3ce74dabb8676d9553b393c
